Date,Region,Product,Sales,Profit,Quantity
2023-11-25,South,Accessories,7819,652,7
2023-06-16,East,Mobile,26712,9007,14
2023-10-01,South,Tablet,25762,5483,7
2024-01-23,East,Tablet,12046,4011,5
2023-03-30,West,Headphones,32463,3489,5
2023-11-12,North,Mobile,29769,9399,2
2023-01-14,North,Mobile,24150,8542,6
2023-08-30,West,Mobile,3711,2530,15
2023-09-22,North,Mobile,5853,558,10
2023-12-12,West,Tablet,30077,307,7
2023-02-22,West,Tablet,24863,999,5
2024-01-21,West,Mobile,22792,121,1
2023-12-06,North,Headphones,41483,8701,13
2023-04-02,East,Laptop,9942,994,18
2024-01-02,West,Laptop,49275,614,13
2024-03-19,South,Headphones,49594,7394,18
2024-03-30,North,Mobile,2762,5004,5
2024-03-03,West,Tablet,32987,7967,13
2023-09-21,West,Laptop,16850,4209,4
2024-03-06,South,Accessories,13112,7279,17
2023-02-04,East,Accessories,25058,1660,3
2023-07-25,East,Headphones,46420,1366,17
2023-03-22,East,Mobile,39890,3738,11
2024-02-24,West,Laptop,1481,9041,4
2023-02-19,West,Mobile,48304,3527,2
2023-12-26,West,Laptop,33921,4880,16
2024-01-23,North,Headphones,41385,2027,18
2023-01-02,South,Headphones,2524,2456,8
2024-01-25,West,Accessories,35888,4890,3
2023-02-23,South,Mobile,16048,406,9
2023-04-16,South,Accessories,36111,8079,6
2023-09-17,East,Mobile,38904,3765,10
2023-11-06,North,Accessories,35008,7157,10
2024-04-21,West,Tablet,1060,761,13
2023-07-10,East,Tablet,10130,4744,17
2024-02-06,East,Tablet,19023,8603,9
2023-08-06,West,Tablet,46080,3020,17
2023-02-13,South,Laptop,14350,9374,9
2023-06-11,East,Tablet,25354,9046,9
2023-07-21,South,Headphones,46186,6336,1
2024-03-21,North,Headphones,29145,6178,2
2024-04-28,South,Laptop,35020,452,16
2023-09-27,North,Tablet,21587,9194,1
2023-12-17,South,Tablet,42131,7105,10
2023-10-31,East,Tablet,10650,258,18
2023-09-28,East,Accessories,20933,1056,8
2024-03-31,North,Mobile,21581,2171,11
2024-04-06,West,Accessories,24393,8695,2
2023-08-03,North,Mobile,24051,9679,8
2023-09-09,North,Tablet,27212,3553,8
2023-07-09,South,Tablet,5090,6775,17
2023-10-23,South,Accessories,7960,1055,15
2023-08-01,North,Accessories,36772,6395,17
2023-07-27,East,Mobile,22520,1812,13
2023-08-25,South,Headphones,37408,4803,19
2023-12-04,West,Mobile,29470,6663,5
2024-01-02,South,Accessories,21491,9565,12
2023-02-22,South,Accessories,2341,5731,1
2023-10-07,West,Laptop,45623,9733,5
2024-02-14,North,Accessories,25791,1494,8
2023-08-05,West,Laptop,1338,9561,13
2023-09-09,North,Headphones,6895,4832,8
2023-07-07,North,Mobile,13254,3814,11
2024-01-15,North,Mobile,12344,629,1
2024-05-07,West,Laptop,2750,3058,13
2023-02-10,North,Mobile,3421,8004,19
2023-06-06,East,Accessories,40887,3691,3
2023-01-15,West,Tablet,6319,6995,17
2023-10-28,East,Laptop,16896,9231,5
2023-03-06,North,Mobile,12918,625,8
2023-12-11,South,Laptop,26064,6577,14
2023-11-23,North,Laptop,47617,101,4
2023-01-09,East,Tablet,28935,474,11
2023-12-10,East,Accessories,38641,4748,15
2023-05-09,West,Laptop,30711,2465,19
2024-05-06,South,Mobile,5806,1625,7
2023-05-16,West,Headphones,42360,1746,19
2024-04-16,East,Laptop,13182,113,19
2023-03-04,North,Laptop,23297,4699,11
2023-05-19,South,Tablet,20541,2378,5
2024-05-13,North,Accessories,29921,3255,5
2023-03-22,North,Headphones,17774,8421,8
2024-01-27,South,Mobile,45813,3914,10
2023-06-12,West,Headphones,38198,3316,6
2024-02-23,North,Mobile,9820,8319,15
2023-10-16,East,Accessories,25070,2213,16
2024-01-14,North,Mobile,5232,9544,17
2023-09-18,South,Tablet,12122,4456,8
2024-05-04,South,Tablet,16023,5643,8
2023-08-19,South,Tablet,9007,4655,9
2023-02-10,West,Tablet,18905,7162,2
2023-01-28,North,Headphones,42786,3474,15
2023-05-15,West,Accessories,30398,6530,18
2023-07-20,West,Mobile,35268,3566,3
2023-11-24,South,Mobile,7737,3181,17
2023-09-25,South,Tablet,37062,729,4
2024-02-22,West,Tablet,26510,369,4
2023-02-02,North,Laptop,20426,5824,14
2023-02-17,East,Accessories,38265,5997,9
2024-02-11,West,Headphones,18850,3532,9
2023-03-03,North,Mobile,1614,9572,18
2023-08-04,South,Laptop,22776,6376,10
2023-10-20,South,Laptop,25077,5995,4
2023-04-09,North,Mobile,10374,7215,12
2023-06-21,East,Headphones,36435,6756,8
2023-12-26,South,Laptop,31907,675,2
2023-08-02,South,Laptop,14409,7129,13
2024-04-19,South,Accessories,17514,6199,16
2023-02-04,North,Headphones,30866,9599,2
2024-03-24,West,Laptop,3983,3292,11
2023-08-15,South,Headphones,32705,3278,10
2023-04-11,West,Mobile,21662,6152,15
2024-03-06,East,Tablet,24510,2834,17
2024-04-06,South,Laptop,13651,6216,8
2023-05-11,South,Accessories,41998,3668,18
2023-09-14,East,Mobile,29535,9947,9
2023-01-05,South,Headphones,7640,9871,8
2023-08-06,West,Mobile,45547,2303,14
2023-09-12,North,Laptop,16317,1490,18
2024-02-02,West,Headphones,8564,1842,12
2023-12-25,North,Tablet,28345,2025,19
2023-10-10,North,Mobile,49288,719,14
2024-01-28,West,Laptop,29687,1374,17
2023-07-26,West,Accessories,14737,1056,3
2023-01-15,West,Headphones,10323,2039,7
2023-12-12,West,Mobile,16229,4053,17
2023-02-11,East,Mobile,45481,1068,12
2024-01-15,South,Tablet,9502,9608,9
2024-04-05,North,Tablet,1545,9335,15
2023-06-28,West,Accessories,38114,381,18
2023-03-04,West,Accessories,30430,6362,13
2023-12-18,West,Laptop,10996,1158,8
2023-08-19,East,Laptop,28788,4393,14
2023-08-29,West,Accessories,30969,5278,8
2023-02-21,West,Accessories,49543,7080,14
2023-04-06,West,Headphones,14919,9300,7
2024-01-23,South,Tablet,4810,1329,12
2023-08-10,East,Laptop,31586,9327,11
2024-04-29,West,Tablet,40974,4685,11
2024-02-11,North,Tablet,42773,8567,13
2023-08-19,North,Accessories,17371,2840,18
2023-08-25,North,Headphones,46084,2389,2
2023-05-23,East,Mobile,30629,1339,15
2023-06-20,East,Headphones,9436,5470,18
2023-01-29,North,Headphones,13984,225,15
2023-02-05,West,Tablet,34039,7573,19
2023-01-13,East,Headphones,20895,9500,12
2023-06-09,North,Laptop,19155,5442,13
2023-11-23,North,Tablet,11616,7451,11
2023-07-06,West,Laptop,38129,6738,5
2023-08-31,South,Mobile,40837,6670,1
2023-03-27,East,Tablet,25574,3349,3
2023-10-11,West,Mobile,4430,9210,19
2023-03-07,North,Tablet,13676,7695,7
2023-06-19,North,Accessories,11816,6394,12
2023-02-14,West,Headphones,33733,6627,15
2023-03-03,East,Accessories,21144,5857,5
2024-03-16,South,Mobile,3050,2069,15
2023-05-14,South,Headphones,45460,991,8
2023-10-11,North,Tablet,34933,4570,10
2023-01-28,East,Headphones,25951,7275,16
2023-04-18,South,Laptop,33413,9656,8
2023-02-13,East,Headphones,35801,8420,1
2023-12-06,East,Laptop,33913,9306,12
2023-10-13,North,Headphones,48037,6912,5
2024-03-21,South,Laptop,41600,7619,3
2023-11-27,West,Mobile,26280,4712,1
2023-05-08,North,Accessories,25557,9810,4
2023-12-14,South,Tablet,48054,1298,8
2024-04-17,South,Headphones,36400,5338,3
2023-08-19,South,Accessories,5494,6189,10
2023-07-09,South,Tablet,16152,6357,2
2023-08-13,South,Tablet,24895,7805,11
2024-01-20,East,Laptop,10155,3819,10
2024-01-12,North,Mobile,32883,402,14
2023-10-10,East,Mobile,44194,1086,7
2024-03-21,West,Accessories,44001,4540,2
2023-05-01,South,Mobile,2828,5009,9
2023-04-26,North,Headphones,46028,3172,16
2024-04-05,South,Mobile,42898,3224,13
2023-08-21,North,Accessories,33123,9619,9
2023-09-16,East,Mobile,38573,8225,4
2023-12-25,North,Headphones,1806,3391,10
2023-07-17,West,Laptop,41970,4133,12
2024-03-31,West,Accessories,30757,5205,17
2024-02-15,North,Laptop,35636,803,14
2023-05-17,North,Laptop,15561,8233,14
2023-11-14,North,Laptop,49280,674,2
2023-06-14,North,Tablet,25262,5804,11
2023-08-13,West,Tablet,15899,7948,16
2023-11-03,South,Laptop,49988,5308,19
2023-08-22,North,Accessories,16934,7024,6
2023-06-21,North,Headphones,39197,3928,19
2023-06-01,West,Headphones,42844,3330,5
2024-04-07,West,Mobile,37332,588,4
2023-11-11,East,Accessories,35157,7214,15
2024-01-09,North,Tablet,12593,9639,4
2023-06-09,East,Laptop,41042,3273,10
2023-04-06,West,Mobile,18320,1767,3
2024-04-16,West,Headphones,28376,9929,5
2023-08-21,South,Tablet,44513,4214,6
2023-06-29,North,Tablet,15199,3653,8
2023-04-23,East,Laptop,16876,7861,7
2023-11-14,West,Headphones,9245,1100,10
2024-05-11,West,Accessories,8214,9142,6
2024-03-17,East,Tablet,1726,1488,14
2023-02-21,South,Laptop,47600,5550,4
2023-09-25,West,Accessories,12362,3812,13
2023-10-22,North,Headphones,19297,1467,17
2024-01-21,West,Tablet,31448,8289,7
2024-01-22,North,Accessories,27172,9113,4
2023-04-23,East,Accessories,43874,554,14
2023-04-11,North,Accessories,8657,9916,3
2023-04-23,East,Tablet,19850,2872,5
2024-03-15,North,Tablet,26425,3826,16
2023-03-22,East,Mobile,27685,7332,4
2023-07-06,North,Headphones,48319,4906,2
2023-04-23,South,Laptop,25578,2290,18
2023-01-02,North,Accessories,29831,9208,19
2023-05-10,North,Mobile,8906,2975,19
2023-08-08,South,Laptop,8287,5692,17
2023-02-23,West,Mobile,34660,1540,14
2023-12-09,West,Tablet,11222,9027,19
2024-04-29,North,Accessories,38443,6159,13
2023-08-12,South,Laptop,35701,7110,12
2023-08-13,North,Laptop,18764,7217,6
2024-01-20,East,Laptop,45641,9253,4
2024-02-07,East,Laptop,18674,3089,19
2023-05-06,North,Laptop,19024,9318,16
2023-05-10,West,Mobile,47007,6328,13
2023-02-22,West,Accessories,24874,6571,4
2023-06-21,North,Tablet,44642,2963,17
2023-08-06,North,Tablet,33284,1277,1
2023-06-09,East,Tablet,18602,4860,18
2023-07-17,West,Tablet,38784,111,17
2024-02-20,North,Mobile,24265,5352,15
2023-09-04,East,Headphones,26931,4499,11
2023-11-20,West,Accessories,29841,8334,13
2024-03-14,South,Laptop,30192,9235,1
2023-07-22,East,Headphones,47542,5545,17
2023-07-03,West,Tablet,43520,6670,6
2023-05-03,West,Headphones,16585,9296,4
2024-02-05,East,Accessories,26559,8312,16
2023-09-12,South,Laptop,41059,506,15
2023-10-21,East,Laptop,34742,9306,15
2023-10-07,West,Accessories,5133,4531,6
2023-11-21,North,Accessories,15663,5343,15
2024-01-07,North,Tablet,22754,6642,14
2023-04-08,East,Laptop,4972,7036,11
2023-07-17,West,Headphones,6295,9006,7
2024-04-14,North,Mobile,47681,4246,9
2024-01-30,West,Mobile,42873,240,16
2023-08-28,East,Accessories,30125,4982,5
2023-05-24,North,Tablet,41996,6112,10
2023-04-07,West,Mobile,10903,1063,18
2023-07-20,North,Laptop,4020,7251,3
2023-05-04,East,Accessories,42755,8664,13
2023-07-06,West,Headphones,21420,3710,11
2023-11-22,North,Accessories,22452,9984,17
2024-04-08,East,Headphones,46648,6994,13
2023-12-15,North,Accessories,39001,7411,6
2023-09-16,North,Accessories,10516,205,17
2023-05-28,South,Accessories,48327,5639,13
2023-09-09,South,Headphones,3396,9973,19
2024-03-18,East,Headphones,19546,6887,19
2024-02-24,South,Accessories,20129,2237,10
2024-02-07,East,Mobile,2591,4545,3
2023-12-12,South,Tablet,12303,3630,14
2024-03-26,North,Tablet,31561,1386,19
2023-05-27,East,Tablet,7183,7152,5
2023-05-28,East,Headphones,27572,3754,5
2023-12-18,North,Headphones,35080,7202,17
2023-07-18,East,Mobile,21695,2459,10
2023-11-04,East,Tablet,8314,8205,5
2024-05-03,South,Tablet,20623,8736,4
2024-02-21,East,Accessories,3139,6541,6
2024-02-28,West,Headphones,48456,5147,4
2023-05-08,North,Tablet,32290,8327,7
2023-02-08,South,Mobile,19088,5303,7
2023-12-04,South,Mobile,40692,9767,18
2023-12-26,West,Tablet,34130,1898,3
2023-05-09,North,Headphones,33088,9700,1
2023-09-24,North,Mobile,27292,5391,4
2024-04-20,South,Accessories,47249,5595,6
2024-03-16,East,Mobile,21670,6384,9
2024-04-17,South,Laptop,4738,7385,14
2024-03-09,North,Laptop,3469,1400,12
2023-05-31,West,Headphones,23534,6969,4
2024-02-19,South,Tablet,49874,9535,12
2024-04-22,North,Headphones,10017,3197,10
2023-10-25,South,Headphones,3808,4716,7
2023-04-09,East,Headphones,48638,109,3
2023-09-20,South,Headphones,13713,5852,14
2023-09-09,South,Accessories,41329,9952,10
2023-05-24,North,Accessories,3719,6395,16
2023-12-12,North,Mobile,23890,4915,16
2023-04-22,North,Laptop,12700,1172,10
2024-05-14,South,Headphones,37509,3325,13
2023-03-01,East,Mobile,43534,1416,6
2024-01-04,West,Laptop,37766,5799,12
2023-01-02,West,Tablet,27705,6907,9
2024-01-20,North,Accessories,19787,6774,13
2023-10-31,North,Laptop,49845,3783,4
2023-09-11,South,Tablet,27588,7327,11
2023-05-20,West,Laptop,27123,3373,18
2024-03-28,North,Accessories,34062,7100,11
2023-02-06,East,Accessories,11177,245,4
2023-06-09,East,Mobile,22727,5110,18
2023-01-09,North,Headphones,31220,3140,1
2023-08-21,North,Laptop,10882,9754,7
2023-04-09,West,Laptop,2136,9876,6
2023-05-27,West,Tablet,35832,582,15
2023-10-31,South,Accessories,32966,3279,18
2023-07-27,West,Laptop,8009,1349,11
2023-05-11,East,Accessories,13987,730,15
2024-02-08,East,Laptop,38311,8953,16
2023-06-01,North,Mobile,32575,2952,7
2023-02-23,West,Headphones,2007,1087,10
2023-04-30,South,Laptop,6445,7722,12
2023-06-10,East,Accessories,11706,7427,14
2024-02-12,East,Mobile,48517,9838,5
2023-04-26,South,Laptop,45486,8941,18
2023-03-16,South,Tablet,30257,9260,5
2023-04-23,East,Headphones,22736,1200,3
2024-03-31,East,Laptop,43207,6752,5
2024-02-24,South,Mobile,14281,8732,17
2024-02-26,East,Tablet,2435,7521,19
2023-04-14,North,Mobile,34339,5116,19
2023-12-06,North,Mobile,36150,869,12
2023-09-11,South,Tablet,26821,1443,9
2023-08-15,West,Mobile,27660,4458,1
2023-04-22,South,Tablet,6084,9869,18
2024-04-17,South,Laptop,17661,6880,4
2023-04-09,West,Tablet,14507,6702,10
2023-06-02,West,Tablet,8059,2449,7
2023-12-15,West,Headphones,19271,5799,1
2024-02-06,North,Tablet,46539,1341,17
2024-01-19,East,Tablet,8491,1225,2
2024-01-01,North,Laptop,48295,9482,11
2023-12-04,East,Headphones,15859,6864,9
2023-07-13,North,Accessories,9073,5201,7
2023-11-06,East,Laptop,10077,7943,17
2023-06-12,North,Laptop,21953,172,17
2023-07-27,West,Accessories,12383,5572,2
2024-03-20,South,Tablet,3353,5289,6
2023-06-18,North,Mobile,24821,2572,14
2024-04-28,East,Headphones,38567,807,6
2023-06-10,West,Mobile,25860,1904,2
2023-03-09,North,Accessories,22195,6804,1
2023-10-16,North,Laptop,12939,3813,10
2024-02-02,West,Laptop,26338,5151,5
2023-10-04,North,Headphones,22730,2575,2
2023-10-31,South,Laptop,22427,3710,16
2024-02-08,North,Laptop,36196,4355,2
2024-01-19,South,Headphones,28083,7497,10
2024-01-27,South,Headphones,22510,1835,2
2023-05-15,West,Accessories,45064,9877,16
2023-07-14,North,Laptop,8813,8358,16
2024-02-05,West,Laptop,32598,8079,19
2023-05-08,North,Accessories,48182,2528,7
2023-02-02,North,Tablet,28570,7526,12
2023-06-25,East,Tablet,28082,8633,15
2024-04-04,North,Tablet,30241,5349,8
2024-03-18,West,Accessories,31678,5391,6
2024-01-06,South,Laptop,45569,2917,10
2024-04-14,North,Accessories,12745,9524,3
2024-01-10,East,Accessories,27029,3974,19
2023-01-22,West,Tablet,14025,9786,17
2023-08-26,North,Mobile,37124,4311,7
2023-06-07,West,Laptop,15288,761,4
2023-02-07,East,Tablet,24650,3474,14
2023-08-18,East,Mobile,7540,9308,15
2023-12-31,West,Mobile,33232,307,8
2023-02-20,North,Headphones,17422,2765,15
2024-03-13,South,Laptop,4342,2593,14
2023-09-21,East,Mobile,42846,6913,9
2023-10-10,North,Tablet,36612,732,8
2023-01-27,North,Headphones,11396,3183,17
2023-08-14,South,Laptop,18482,3819,2
2023-10-04,East,Accessories,24411,7223,3
2023-10-13,East,Tablet,47766,1779,8
2023-04-07,North,Mobile,14261,336,12
2023-10-11,North,Mobile,4093,7546,1
2024-01-02,South,Tablet,12722,4543,10
2024-03-23,South,Mobile,23042,6870,3
2024-04-25,East,Headphones,45413,9832,6
2024-03-28,West,Laptop,48851,6199,7
2023-11-13,East,Headphones,29087,8655,18
2023-10-31,North,Mobile,33347,2468,11
2023-05-27,East,Accessories,34756,385,19
2023-01-04,West,Laptop,40214,248,5
2023-02-04,South,Laptop,17335,4137,19
2023-07-11,West,Tablet,29602,6649,11
2023-02-18,West,Tablet,49901,7221,12
2023-01-17,West,Accessories,35450,4995,10
2023-06-21,South,Laptop,33196,5380,8
2023-08-08,West,Accessories,6626,1112,9
2023-06-07,West,Tablet,8424,9815,4
2024-04-21,West,Tablet,13857,2885,5
2023-02-15,North,Laptop,45923,3825,8
2024-01-08,West,Headphones,20982,4676,9
2023-01-06,South,Mobile,12425,5882,15
2023-04-09,West,Tablet,2980,6357,15
2024-01-15,West,Tablet,49290,9893,16
2023-08-21,South,Headphones,27431,2508,14
2023-02-06,West,Headphones,20440,440,8
2023-10-07,South,Accessories,42752,2917,18
2023-12-15,West,Accessories,18175,2596,10
2024-05-11,South,Mobile,49651,6062,6
2023-10-29,West,Mobile,27385,5399,12
2023-06-30,West,Laptop,39158,7674,2
2023-04-05,North,Accessories,24019,1789,7
2023-04-09,North,Tablet,19639,3367,16
2023-07-07,West,Accessories,20994,4506,3
2024-04-25,West,Tablet,35375,8553,13
2023-04-26,East,Headphones,22563,1542,3
2023-07-10,South,Accessories,40341,8697,18
2023-09-10,East,Headphones,6776,4537,11
2024-04-13,North,Mobile,37444,5535,8
2024-02-20,North,Mobile,4380,8535,6
2024-04-15,North,Laptop,9711,4207,1
2023-06-10,North,Accessories,9782,660,1
2023-09-13,West,Headphones,18434,8885,8
2023-11-19,North,Tablet,47765,5648,5
2023-05-08,West,Mobile,21017,1926,16
2023-01-18,West,Mobile,31707,7729,11
2023-10-08,North,Tablet,40110,8425,5
2024-05-04,North,Headphones,18343,3238,4
2023-08-11,South,Headphones,39827,7793,6
2023-02-23,East,Accessories,42652,8364,14
2023-02-27,North,Accessories,6655,7942,19
2023-11-19,South,Laptop,45859,6821,9
2023-12-26,South,Mobile,16251,7102,12
2023-06-23,East,Accessories,1526,4325,11
2023-10-07,West,Headphones,4224,3078,14
2023-04-24,North,Tablet,48837,7473,16
2023-10-15,East,Headphones,12536,6007,1
2024-03-06,North,Mobile,29541,6197,13
2023-12-08,South,Headphones,14547,5756,13
2023-05-31,South,Laptop,35531,9084,2
